order_number,path,english_name,hebrew_name,hebrew_fullspell_name,bavli,yerushalmi,hebrew_description
5,middot,Middot,מִדּוֹת,מידות,,,"מבנה בית המקדש: מדידות העזרות, השערים, ההיכל, והלשכות השונות בבית השני."
5,kinnim,Kinnim,קִנִּים,קינים,,,"קרבנות עוף: הלכות המובאות במקרים של בלבול ותערובת בין זוגות קיני יונים ותורים."
6,kelim,Kelim,כֵּלִים,כלים,,,"טהרת חפצים: דרגות טומאה של כלי עץ, מתכת, חרס ועור, והדרכים בהן כלים מקבלים או מאבדים טומאה."
6,oholot,Oholot,אָהֳלוֹת,אהלות,,,"טומאת המת: התפשטות הטומאה תחת קורת גג אחת (אהל), ושיעורי המרחק והחציצה בפני הטומאה."
6,negaim,Negaim,נְגָעִים,נגעים,,,"נגעי עור וצרעת: אבחון נגעים באדם, בבגדים ובבתים, ותהליך הטהרה של המצורע."
6,parah,Parah,פָּרָה,פרה,,,"פרה אדומה: שריפת הפרה, הכנת אפרה, ודיני הזיית המים לטהרת טמאי מת."
6,tohorot,Tohorot,טֳהָרוֹת,טהרות,,,"מושגי טומאה וטהרה קלים: טומאת אוכלים ומשקאות, ספק טומאה, ודיני נטילת ידיים."
6,mikvaot,Mikvaot,מִקְוָאוֹת,מקוואות,,,"טבילה לטהרה: בניית המקווה, שיעור המים הנדרש, פסילת מים שאובים, ודיני הטבילה."
6,niddah,Niddah,נִדָּה,נידה,1,1,"טהרת המשפחה: טומאת נידה ויולדת, בדיקות פנימיות, וספירת ימי הטהרה."
6,makhshirin,Makhshirin,מַכְשִׁירִין,מכשירין,,,"הכשר לקבלת טומאה: שבעת המשקאות הגורמים לאוכל להיות מסוגל להיטמא, ותפקיד הכוונה והרצון בכך."
6,zavim,Zavim,זָבִים,זבים,,,"טומאת זיבה: הפרשות המטמאות את האדם, העברת טומאה במגע ובמשא, ותהליך הטהרה."
6,tevul-yom,Tevul Yom,טְבוּל יוֹם,טבול יום,,,"מעמד הביניים של הנטהר: אדם שטבל אך מחכה לשקיעת החמה, ודיני המגע שלו עם תרומה וקודש."
6,yadayim,Yadayim,יָדַיִם,ידיים,,,"טומאת ידיים: גזירות חכמים על טומאת ידיים, נטילת ידיים, וספרים המטמאים את הידיים."
6,oktzin,Oktzin,עוּקְצִין,עוקצין,,,"חלקי הצמח המשניים: הדרכים בהן עוקצי הפרי והקליפות מצטרפים לפרי לעניין קבלת טומאה."
